Alaa|Abdelnaby|240|1968-6-24
Mahmo|Abdul-rauf|162|1969-3-9
Mark|Acres|220|1962-11-15
Michael|Adams|162|1963-1-19
Rafael|Addison|215|1964-7-22
Mark|Aguirre|232|1959-12-10
Danny|Ainge|175|1959-3-17
Mark|Alarie|217|1963-12-11
Chuck|Aleksinas|260|1959-2-26
Steve|Alford|183|1964-11-23
Randy|Allen|220|1965-1-26
Darrell|Allums|220|1958-9-12
Dwight|Anderson|185|1960-12-28
Mitchell|Anderson|195|1960-9-23
Michael|Anderson|184|1966-3-23
Nick|Anderson|205|1968-1-20
Richard|Anderson|240|1960-11-19
Ron|Anderson|215|1958-10-15
Cadillac|Anderson|230|1964-6-22
Willie|Anderson|190|1967-1-8
Michael|Ansley|225|1967-2-8
Joe|Arlauckas|230|1965-7-20
B.j.|Armstrong|175|1967-9-9
Vincent|Askew|210|1966-2-28
Keith|Askins|197|1967-12-15
Ken|Austin|205|1961-7-15
Milos|Babic|240|1968-11-23
John|Bagley|185|1960-4-23
Carl|Bailey|210|1958-4-23
Thurl|Bailey|215|1961-4-7
Cedric|Ball|210|1968-4-16
Gene|Banks|215|1959-5-15
Ken|Bannister|235|1960-4-1
Charles|Barkley|250|1963-2-20
Dana|Barros|163|1967-4-13
John|Battle|175|1962-11-9
Kenny|Battle|210|1964-10-10
Dave|Batton|240|1956-3-26
William|Bedford|225|1963-12-14
Benoit|Benjamin|250|1964-11-22
Winston|Bennett|210|1965-2-9
Ricky|Berry|205|1964-10-6
Walter|Berry|215|1964-5-14
Joe|Binion|235|1961-3-26
Uwe|Blab|252|1962-3-26
Norman|Black|185|1957-11-12
Rolando|Blackman|194|1959-2-26
Cory|Blackwell|210|1963-3-27
Nate|Blackwell|170|1965-2-15
Lance|Blanks|190|1966-9-9
Mookie|Blaylock|180|1967-3-20
Ray|Blume|185|1958-9-23
Muggsy|Bogues|136|1965-1-9
Manute|Bol|200|1962-10-16
Anthony|Bonner|215|1968-6-8
Anthony|Bowie|190|1963-11-9
Sam|Bowie|235|1961-3-17
Alex|Bradley|215|1959-10-30
Charles|Bradley|215|1959-5-16
Adrian|Branch|185|1963-11-17
Brad|Branson|220|1958-9-24
Randy|Breuer|230|1960-10-11
Frank|Brickowski|240|1959-8-14
Mike|Brittain|235|1963-6-21
David|Britton|180|1958-8-29
Jim|Brogan|185|1958-2-24
Michael|Brooks|220|1958-8-17
Scott|Brooks|165|1965-7-31
Chucky|Brown|214|1968-2-29
Dee|Brown|160|1968-11-29
Lewis|Brown|225|1955-2-19
Mike|Brown|257|1963-7-19
Raymond|Brown|220|1965-7-5
Rickey|Brown|215|1958-8-20
Tony|Brown|185|1960-7-29
Stanley|Brundy|210|1967-11-13
Mark|Bryant|245|1965-4-25
Wallace|Bryant|245|1959-7-14
Torgeir|Bryn|250|1964-8-8
Steve|Bucknall|215|1966-3-17
Jud|Buechler|220|1968-6-19
Matt|Bullard|215|1967-6-5
Roger|Burkman|175|1958-5-22
David|Burns|180|1958-7-3
Willie|Burton|210|1968-5-26
Steve|Burtt|185|1962-11-5
Greg|Butler|240|1966-3-11
Michael|Cage|224|1962-1-28
Adrian|Caldwell|265|1966-7-4
Rick|Calloway|180|1966-12-12
Elden|Campbell|215|1968-7-23
Tony|Campbell|215|1962-5-7
Rick|Carlisle|210|1959-10-27
Antoine|Carr|225|1961-7-23
Joe Barry|Carroll|225|1958-7-24
Butch|Carter|180|1958-6-11
Howard|Carter|215|1961-10-26
Reggie|Carter|175|1957-10-10
Terry|Catledge|220|1963-8-22
Bobby|Cattage|250|1958-8-17
Duane|Causwell|240|1968-5-31
Ron|Cavenall|230|1959-4-30
Cedric|Ceballos|190|1969-8-2
Tom|Chambers|220|1959-6-21
Mike|Champion|230|1964-4-5
Rex|Chapman|185|1967-10-5
Lorenzo|Charles|225|1963-11-25
Derrick|Chievous|195|1967-7-3
Carlos|Clark|210|1960-8-10
Richard|Coffey|212|1965-9-2
Fred|Cofield|190|1962-1-4
Ben|Coleman|235|1961-11-14
Derrick|Coleman|230|1967-6-21
Norris|Coleman|210|1961-9-27
Bimbo|Coles|180|1968-4-22
Art|Collins|185|1954-4-14
Don|Collins|190|1958-11-28
Steve|Colter|165|1962-7-24
Leroy|Combs|210|1961-1-1
Dallas|Comegys|205|1964-8-17
Lester|Conner|180|1959-9-17
Anthony|Cook|205|1967-3-19
Darwin|Cook|184|1958-8-6
David|Cooke|230|1963-9-27
Joe|Cooper|230|1957-9-1
Lanard|Copeland|190|1965-7-16
Tyrone|Corbin|210|1962-12-31
John|Cox|180|1955-12-29
Ron|Crevier|235|1958-4-14
Winston|Crite|233|1965-6-20
Jeff|Cross|240|1961-9-1
Russell|Cross|215|1961-9-5
Terry|Cummings|220|1961-3-15
Earl|Cureton|210|1957-9-3
Dell|Curry|190|1964-6-25
Quintin|Dailey|180|1961-1-22
Brad|Daugherty|245|1965-10-19
Charlie|Davis|215|1958-10-5
Michael|Davis|230|1956-8-2
Monti|Davis|205|1958-7-26
Terry|Davis|225|1967-6-17
Mark|Davis|195|1963-6-8
Johnny|Dawkins|165|1963-9-28
Tony|Dawson|215|1967-8-25
Darren|Daye|220|1960-11-30
Vinny|Del Negro|185|1966-8-9
Fennis|Dembo|215|1966-1-24
Kenny|Dennard|220|1958-10-18
Mickey|Dillard|170|1958-10-15
Byron|Dinkins|170|1967-6-15
Vlade|Divac|243|1968-2-3
James|Donaldson|275|1957-8-16
Billy|Donovan|171|1965-5-30
Bruce|Douglas|195|1964-4-9
John|Douglas|170|1956-6-12
Sherman|Douglas|180|1966-9-15
Terry|Dozier|210|1966-6-29
Greg|Dreiling|250|1963-11-7
Larry|Drew|170|1958-4-2
Clyde|Drexler|210|1962-6-22
Ralph|Drollinger|250|1954-4-20
Kevin|Duckworth|275|1964-4-1
Chris|Dudley|235|1965-2-22
Joe|Dumars|190|1963-5-24
John|Duren|195|1958-10-30
Devin|Durrant|200|1960-10-20
Craig|Dykema|190|1959-6-11
Ledell|Eackles|220|1966-11-24
Mark|Eaton|275|1957-1-24
Jerry|Eaves|180|1959-2-8
Kent|Edelin|205|1962-5-24
Keith|Edmonson|195|1960-9-28
Blue|Edwards|200|1965-10-31
Franklin|Edwards|170|1959-2-2
Jay|Edwards|185|1969-1-3
Kevin|Edwards|190|1965-10-30
Craig|Ehlo|180|1961-8-11
Mario|Elie|210|1963-11-26
Sean|Elliott|205|1968-2-2
Dale|Ellis|205|1960-8-6
Pervis|Ellison|210|1967-4-3
Chris|Engler|245|1959-3-1
Wayne|Englestad|245|1963-12-6
A.j.|English|175|1967-7-11
Patrick|Ewing|240|1962-8-5
Jim|Farmer|190|1964-9-23
Dave|Feitl|235|1962-6-8
Rolando|Ferreira|240|1964-5-24
Duane|Ferrell|209|1965-2-28
Danny|Ferry|230|1966-10-17
Kenny|Fields|220|1962-2-9
Vern|Fleming|185|1962-2-4
Bruce|Flowers|225|1957-6-13
Sleepy|Floyd|170|1960-3-6
Greg|Foster|240|1968-10-3
Rod|Foster|160|1960-10-10
Tellis|Frank|225|1965-4-26
Anthony|Frederick|205|1964-12-7
Tony|Fuller|180|1958-9-4
Corey|Gaines|195|1965-6-1
Kevin|Gamble|210|1965-11-13
Winston|Garland|170|1964-12-19
Bill|Garnett|225|1960-4-22
Calvin|Garrett|190|1956-7-11
Tom|Garrick|185|1966-7-7
John|Garris|205|1959-6-6
Kenny|Gattison|225|1964-5-23
Tate|George|190|1968-5-29
Derrick|Gervin|200|1963-3-28
Mike|Gibson|205|1960-10-27
Kendall|Gill|195|1968-5-25
Ben|Gillery|235|1965-9-19
Armen|Gilliam|230|1964-5-28
Gerald|Glass|221|1967-11-12
Georgi|Glouchkov|235|1960-1-10
Mike|Gminski|250|1959-8-3
Dan|Godfread|250|1967-6-14
Grant|Gondrezick|205|1963-1-19
Lancaster|Gordon|185|1962-6-24
Orlando|Graham|220|1965-5-5
Jim|Grandholm|235|1960-10-4
Ron|Grandison|215|1964-7-9
Stewart|Granger|190|1961-10-27
Gary|Grant|185|1965-4-21
Greg|Grant|140|1966-8-29
Harvey|Grant|195|1965-7-4
Horace|Grant|215|1965-7-4
Butch|Graves|200|1962-1-5
Stuart|Gray|235|1963-5-27
Sylvester|Gray|230|1967-7-8
Jeff|Grayer|200|1965-12-17
A.c.|Green|220|1963-10-4
Kenny|Green|210|1964-10-11
Ken|Green|215|1959-9-19
Sidney|Green|220|1961-1-4
Claude|Gregory|205|1958-12-26
John|Greig|215|1961-4-28
